Process / Review 통신 프로토콜 메시지 목록
작성일: 2026-07-17

01. HELLO_REQ | 양방향 | 최초 연결 시 상대 장비와 프로토콜 버전을 확인
23. ALIGN_RESULT_CONFIRM_REQ | Process -> Review | Process에서 얼라인 결과 적용 여부 전달
24. ALIGN_RESULT_CONFIRM_RSP | Review -> Process | 얼라인 결과 확인 처리 응답
25. REVIEW_MEASURE_REQ | Process -> Review | 리뷰 측정 작업 생성 요청
26. REVIEW_POINT_LIST_DOWNLOAD_REQ | Process -> Review | 측정할 셀, 홀, 스캐너, DOE 빔 좌표 목록 전달
27. REVIEW_MEASURE_START_CMD | Process -> Review | 리뷰 측정 시작 명령
28. REVIEW_MEASURE_ABORT_CMD | Process -> Review | 진행 중인 리뷰 측정 중단 명령
29. REVIEW_MEASURE_STARTED | Review -> Process | 리뷰 측정 시작 상태 전달
30. REVIEW_MEASURE_PROGRESS | Review -> Process | 전체 측정점 대비 진행률 전달
31. REVIEW_POINT_RESULT | Review -> Process | 개별 측정점의 설계좌표, 측정좌표 및 편차 전달
32. REVIEW_MEASUREMENT_BATCH_RESULT | Review -> Process | 여러 측정점의 결과를 묶어서 전달
33. REVIEW_MEASURE_COMPLETED | Review -> Process | 리뷰 측정 정상 완료 통보
34. REVIEW_MEASURE_FAILED | Review -> Process | 리뷰 측정 실패 및 원인 전달
35. OFFSET_POLICY_SET_REQ | Process -> Review | 평균, 중앙값, 이상치 제외 등 보정 계산 조건 전달
36. OFFSET_POLICY_SET_RSP | Review -> Process | 보정 계산 조건 적용 결과 응답
37. OFFSET_CALC_REQ | Process -> Review | 리뷰 측정 결과를 이용한 보정값 계산 요청
38. OFFSET_CALC_RSP | Review -> Process | 스캐너 헤드별 X/Y 보정값과 계산 결과 전달
39. OFFSET_APPLY_REQ | Process -> Review | 계산된 Review Offset 적용 요청
40. OFFSET_APPLY_RSP | Review -> Process | Offset 적용 결과와 적용 버전 응답
41. OFFSET_ROLLBACK_REQ | Process -> Review | 적용된 보정값을 이전 값으로 복구 요청
42. OFFSET_ROLLBACK_RSP | Review -> Process | 보정값 복구 결과 응답
43. PROCESS_READY_REQ | Process -> Review | Review 측에 공정 준비 상태 확인 요청
44. PROCESS_READY_RSP | Review -> Process | Review 측 준비 완료 여부 응답
45. PROCESS_START_EVENT | Process -> Review | MOF 가공 시작 통보
46. PROCESS_STEP_EVENT | Process -> Review | 현재 셀, 가공점, 스캐너 등 공정 진행정보 전달
47. PROCESS_COMPLETE_EVENT | Process -> Review | MOF 가공 정상 완료 통보
48. PROCESS_ABORT_EVENT | Process -> Review | MOF 가공 중단 및 원인 전달
49. REVIEW_READY_EVENT | Review -> Process | Review 시스템이 측정 가능한 상태임을 통보
50. REVIEW_BUSY_EVENT | Review -> Process | Review 시스템이 작업 중임을 통보
51. ALARM_EVENT | 양방향 | 장비 및 프로그램 알람 발생정보 전달
52. ALARM_CLEAR_EVENT | 양방향 | 발생했던 알람의 해제정보 전달
53. LOG_EVENT | 양방향 | 주요 명령, 상태 변경 및 처리 이력 전달
54. BULK_TRANSFER_BEGIN | 양방향 | 대용량 좌표 또는 측정 결과 전송 시작
55. BULK_TRANSFER_CHUNK | 양방향 | 대용량 데이터를 여러 블록으로 분할 전송
56. BULK_TRANSFER_END | 양방향 | 대용량 데이터 전송 완료 및 검증 요청
57. BULK_TRANSFER_ABORT | 양방향 | 대용량 데이터 전송 취소 또는 오류 통보
58. EQUIPMENT_GEOMETRY_SYNC_REQ | Process -> Review | Review Camera와 H1 Scanner 사이의 고정 물리 Offset, Scanner Pitch 및 Zigzag 설계 Geometry 전달
59. EQUIPMENT_GEOMETRY_SYNC_RSP | Review -> Process | 장비 Calibration 버전, 물리 Offset 및 Geometry 값의 일치 여부 응답
